Territorio;Anno;Valore
Friuli-Venezia Giulia;2008;0.57
Friuli-Venezia Giulia;2009;0.54
Friuli-Venezia Giulia;2010;0.54
Friuli-Venezia Giulia;2011;0.56
Friuli-Venezia Giulia;2012;0.58
Friuli-Venezia Giulia;2013;0.57
Friuli-Venezia Giulia;2014;0.59
Friuli-Venezia Giulia;2015;0.61
Friuli-Venezia Giulia;2016;0.63
Emilia-Romagna;2004;0.78
Emilia-Romagna;2005;0.80
Emilia-Romagna;2006;0.82
Emilia-Romagna;2007;0.86
Emilia-Romagna;2008;0.85
Emilia-Romagna;2009;0.81
Emilia-Romagna;2010;0.80
Emilia-Romagna;2011;0.83
Emilia-Romagna;2012;0.86
Emilia-Romagna;2013;0.85
Emilia-Romagna;2014;0.87
Emilia-Romagna;2015;0.89
Emilia-Romagna;2016;0.92
Toscana;2004;0.45
Toscana;2005;0.46
Toscana;2006;0.47
Toscana;2007;0.50
Toscana;2008;0.49
Toscana;2009;0.47
Toscana;2010;0.46
Toscana;2011;0.48
Toscana;2012;0.50
Toscana;2013;0.49
Toscana;2014;0.51
Toscana;2015;0.53
Toscana;2016;0.55
Umbria;2004;0.22
Umbria;2005;0.23
Umbria;2006;0.24
Umbria;2007;0.25
Umbria;2008;0.24
Umbria;2009;0.23
Umbria;2010;0.23
Umbria;2011;0.24
Umbria;2012;0.25
Umbria;2013;0.24
Umbria;2014;0.25
Umbria;2015;0.26
Umbria;2016;0.27
Marche;2004;0.35
Marche;2005;0.36
Marche;2006;0.37
Marche;2007;0.39
Marche;2008;0.38
Marche;2009;0.36
Marche;2010;0.36
Marche;2011;0.37
Marche;2012;0.39
Marche;2013;0.38
Marche;2014;0.40
Marche;2015;0.41
Marche;2016;0.43
Lazio;2004;0.58
Lazio;2005;0.60
Lazio;2006;0.61
Lazio;2007;0.64
Lazio;2008;0.63
Lazio;2009;0.60
Lazio;2010;0.60
Lazio;2011;0.62
Lazio;2012;0.64
Lazio;2013;0.63
Lazio;2014;0.65
Lazio;2015;0.67
Lazio;2016;0.69
Abruzzo;2004;0.18
Abruzzo;2005;0.19
Abruzzo;2006;0.19
Abruzzo;2007;0.20
Abruzzo;2008;0.20
Abruzzo;2009;0.19
Abruzzo;2010;0.19
Abruzzo;2011;0.20
Abruzzo;2012;0.20
Abruzzo;2013;0.20
Abruzzo;2014;0.21
Abruzzo;2015;0.22
Abruzzo;2016;0.23
Molise;2004;0.08
Molise;2005;0.08
Molise;2006;0.09
Molise;2007;0.09
Molise;2008;0.09
Molise;2009;0.08
Molise;2010;0.08
Molise;2011;0.09
Molise;2012;0.09
Molise;2013;0.09
Molise;2014;0.09
Molise;2015;0.10
Molise;2016;0.10
Campania;2004;0.15
Campania;2005;0.16
Campania;2006;0.16
Campania;2007;0.17
Campania;2008;0.17
Campania;2009;0.16
Campania;2010;0.16
Campania;2011;0.17
Campania;2012;0.17
Campania;2013;0.17
Campania;2014;0.18
Campania;2015;0.18
Campania;2016;0.19
Puglia;2004;0.13
Puglia;2005;0.14
Puglia;2006;0.14
Puglia;2007;0.15
Puglia;2008;0.15
Puglia;2009;0.14
Puglia;2010;0.14
Puglia;2011;0.15
Puglia;2012;0.15
Puglia;2013;0.15
Puglia;2014;0.16
Puglia;2015;0.16
Puglia;2016;0.17
Basilicata;2004;0.10
Basilicata;2005;0.10
Basilicata;2006;0.11
Basilicata;2007;0.11
Basilicata;2008;0.11
Basilicata;2009;0.10
Basilicata;2010;0.10
Basilicata;2011;0.11
Basilicata;2012;0.11
Basilicata;2013;0.11
Basilicata;2014;0.11
Basilicata;2015;0.12
Basilicata;2016;0.12
Calabria;2004;0.09
Calabria;2005;0.09
Calabria;2006;0.10
Calabria;2007;0.10
Calabria;2008;0.10
Calabria;2009;0.09
Calabria;2010;0.09
Calabria;2011;0.10
Calabria;2012;0.10
Calabria;2013;0.10
Calabria;2014;0.10
Calabria;2015;0.11
Calabria;2016;0.11
Sicilia;2004;0.11
Sicilia;2005;0.12
Sicilia;2006;0.12
Sicilia;2007;0.13
Sicilia;2008;0.12
Sicilia;2009;0.12
Sicilia;2010;0.12
Sicilia;2011;0.12
Sicilia;2012;0.13
Sicilia;2013;0.13
Sicilia;2014;0.13
Sicilia;2015;0.14
Sicilia;2016;0.14
Sardegna;2004;0.14
Sardegna;2005;0.14
Sardegna;2006;0.15
Sardegna;2007;0.16
Sardegna;2008;0.15
Sardegna;2009;0.14
Sardegna;2010;0.14
Sardegna;2011;0.15
Sardegna;2012;0.15
Sardegna;2013;0.15
Sardegna;2014;0.16
Sardegna;2015;0.16
Sardegna;2016;0.17
