Territorio;Anno;Valore
Campania;2006;47.0
Campania;2007;47.5
Campania;2008;47.1
Campania;2009;46.2
Campania;2010;45.8
Campania;2011;46.1
Campania;2012;45.7
Campania;2013;45.1
Campania;2014;44.7
Campania;2015;44.9
Campania;2016;45.2
Puglia;2004;48.7
Puglia;2005;49.0
Puglia;2006;49.4
Puglia;2007;49.9
Puglia;2008;49.5
Puglia;2009;48.7
Puglia;2010;48.4
Puglia;2011;48.7
Puglia;2012;48.3
Puglia;2013;47.7
Puglia;2014;47.3
Puglia;2015;47.7
Puglia;2016;48.0
Basilicata;2004;50.2
Basilicata;2005;50.5
Basilicata;2006;50.9
Basilicata;2007;51.4
Basilicata;2008;51.1
Basilicata;2009;50.3
Basilicata;2010;50.0
Basilicata;2011;50.4
Basilicata;2012;50.1
Basilicata;2013;49.6
Basilicata;2014;49.2
Basilicata;2015;49.6
Basilicata;2016;49.9
Calabria;2004;47.1
Calabria;2005;47.4
Calabria;2006;47.8
Calabria;2007;48.3
Calabria;2008;47.9
Calabria;2009;47.1
Calabria;2010;46.8
Calabria;2011;47.1
Calabria;2012;46.7
Calabria;2013;46.1
Calabria;2014;45.7
Calabria;2015;46.1
Calabria;2016;46.4
Sicilia;2004;49.5
Sicilia;2005;49.8
Sicilia;2006;50.2
Sicilia;2007;50.7
Sicilia;2008;50.3
Sicilia;2009;49.5
Sicilia;2010;49.2
Sicilia;2011;49.5
Sicilia;2012;49.1
Sicilia;2013;48.5
Sicilia;2014;48.1
Sicilia;2015;48.5
Sicilia;2016;48.8
Sardegna;2004;53.8
Sardegna;2005;54.1
Sardegna;2006;54.5
Sardegna;2007;55.0
Sardegna;2008;54.7
Sardegna;2009;53.9
Sardegna;2010;53.6
Sardegna;2011;54.0
Sardegna;2012;53.7
Sardegna;2013;53.2
Sardegna;2014;52.8
Sardegna;2015;53.2
Sardegna;2016;53.5
